num,method,oodset,auroc,fpr
1,MSP,P2P,65.91%,84.99%
2,MaxLogit,P2P,63.05%,97.34%
3,Energy,P2P,59.40%,97.76%
4,Energy+React,P2P,56.72%,97.40%
5,Residual-DIM:0,P2P,54.15%,98.24%
6,Residual-DIM:20,P2P,68.42%,86.20%
7,Residual-DIM:40,P2P,76.79%,74.52%
8,Residual-DIM:60,P2P,79.10%,72.34%
9,Residual-DIM:80,P2P,81.84%,66.77%
10,Residual-DIM:100,P2P,82.35%,66.46%
11,Residual-DIM:120,P2P,81.44%,67.92%
12,Residual-DIM:140,P2P,80.43%,68.89%
13,Residual-DIM:160,P2P,79.35%,69.98%
14,Residual-DIM:180,P2P,79.13%,69.98%
15,Virtual Logit-DIM:0,P2P,59.63%,97.64%
16,Virtual Logit-DIM:20,P2P,71.95%,85.41%
17,Virtual Logit-DIM:40,P2P,76.06%,75.18%
18,Virtual Logit-DIM:60,P2P,79.25%,73.43%
19,Virtual Logit-DIM:80,P2P,82.06%,67.80%
20,Virtual Logit-DIM:100,P2P,82.80%,67.98%
21,Virtual Logit-DIM:120,P2P,81.82%,68.77%
22,Virtual Logit-DIM:140,P2P,80.94%,70.64%
23,Virtual Logit-DIM:160,P2P,79.97%,71.61%
24,Virtual Logit-DIM:180,P2P,79.78%,72.28%
25,Virtual Logit-DIM:200,P2P,79.50%,73.00%
26,Virtual Logit-DIM:220,P2P,78.74%,74.27%
27,Virtual Logit-DIM:240,P2P,78.14%,73.12%
28,Mahalanobis,P2P,70.65%,61.38%
1,MSP,MULTIMEDIA,70.47%,80.52%
2,MaxLogit,MULTIMEDIA,41.45%,99.76%
3,Energy,MULTIMEDIA,37.95%,99.05%
4,Energy+React,MULTIMEDIA,36.77%,97.62%
5,Residual-DIM:0,MULTIMEDIA,88.52%,89.07%
6,Residual-DIM:20,MULTIMEDIA,98.61%,7.60%
7,Residual-DIM:40,MULTIMEDIA,98.40%,7.36%
8,Residual-DIM:60,MULTIMEDIA,96.28%,31.12%
9,Residual-DIM:80,MULTIMEDIA,95.19%,36.10%
10,Residual-DIM:100,MULTIMEDIA,94.60%,38.24%
11,Residual-DIM:120,MULTIMEDIA,94.95%,36.82%
12,Residual-DIM:140,MULTIMEDIA,94.80%,38.00%
13,Residual-DIM:160,MULTIMEDIA,94.46%,39.19%
14,Residual-DIM:180,MULTIMEDIA,94.46%,39.19%
15,Virtual Logit-DIM:0,MULTIMEDIA,38.40%,98.10%
16,Virtual Logit-DIM:20,MULTIMEDIA,98.26%,8.08%
17,Virtual Logit-DIM:40,MULTIMEDIA,98.00%,8.08%
18,Virtual Logit-DIM:60,MULTIMEDIA,95.54%,36.58%
19,Virtual Logit-DIM:80,MULTIMEDIA,94.37%,38.95%
20,Virtual Logit-DIM:100,MULTIMEDIA,93.73%,41.09%
21,Virtual Logit-DIM:120,MULTIMEDIA,94.20%,40.14%
22,Virtual Logit-DIM:140,MULTIMEDIA,94.00%,41.33%
23,Virtual Logit-DIM:160,MULTIMEDIA,93.62%,41.81%
24,Virtual Logit-DIM:180,MULTIMEDIA,93.63%,42.04%
25,Virtual Logit-DIM:200,MULTIMEDIA,93.65%,42.04%
26,Virtual Logit-DIM:220,MULTIMEDIA,93.57%,42.28%
27,Virtual Logit-DIM:240,MULTIMEDIA,94.34%,40.38%
28,Mahalanobis,MULTIMEDIA,88.48%,24.23%
1,MSP,INTERACTIVE,53.86%,92.16%
2,MaxLogit,INTERACTIVE,58.45%,96.08%
3,Energy,INTERACTIVE,56.69%,97.06%
4,Energy+React,INTERACTIVE,54.10%,95.10%
5,Residual-DIM:0,INTERACTIVE,40.20%,94.12%
6,Residual-DIM:20,INTERACTIVE,93.44%,48.04%
7,Residual-DIM:40,INTERACTIVE,92.45%,43.14%
8,Residual-DIM:60,INTERACTIVE,89.90%,53.92%
9,Residual-DIM:80,INTERACTIVE,91.22%,49.02%
10,Residual-DIM:100,INTERACTIVE,89.29%,60.78%
11,Residual-DIM:120,INTERACTIVE,88.70%,60.78%
12,Residual-DIM:140,INTERACTIVE,88.45%,59.80%
13,Residual-DIM:160,INTERACTIVE,87.59%,59.80%
14,Residual-DIM:180,INTERACTIVE,87.47%,59.80%
15,Virtual Logit-DIM:0,INTERACTIVE,56.71%,97.06%
16,Virtual Logit-DIM:20,INTERACTIVE,93.32%,47.06%
17,Virtual Logit-DIM:40,INTERACTIVE,91.89%,44.12%
18,Virtual Logit-DIM:60,INTERACTIVE,89.45%,55.88%
19,Virtual Logit-DIM:80,INTERACTIVE,90.87%,50.98%
20,Virtual Logit-DIM:100,INTERACTIVE,88.83%,61.76%
21,Virtual Logit-DIM:120,INTERACTIVE,88.24%,60.78%
22,Virtual Logit-DIM:140,INTERACTIVE,87.99%,60.78%
23,Virtual Logit-DIM:160,INTERACTIVE,87.18%,60.78%
24,Virtual Logit-DIM:180,INTERACTIVE,87.06%,60.78%
25,Virtual Logit-DIM:200,INTERACTIVE,86.63%,61.76%
26,Virtual Logit-DIM:220,INTERACTIVE,85.86%,63.73%
27,Virtual Logit-DIM:240,INTERACTIVE,85.17%,65.69%
28,Mahalanobis,INTERACTIVE,71.96%,51.96%
1,MSP,GAMES,57.64%,100.00%
2,MaxLogit,GAMES,60.43%,100.00%
3,Energy,GAMES,60.31%,100.00%
4,Energy+React,GAMES,63.10%,87.50%
5,Residual-DIM:0,GAMES,48.84%,100.00%
6,Residual-DIM:20,GAMES,71.35%,100.00%
7,Residual-DIM:40,GAMES,82.20%,62.50%
8,Residual-DIM:60,GAMES,82.82%,75.00%
9,Residual-DIM:80,GAMES,84.50%,75.00%
10,Residual-DIM:100,GAMES,85.93%,75.00%
11,Residual-DIM:120,GAMES,86.63%,75.00%
12,Residual-DIM:140,GAMES,86.63%,75.00%
13,Residual-DIM:160,GAMES,85.52%,75.00%
14,Residual-DIM:180,GAMES,85.40%,75.00%
15,Virtual Logit-DIM:0,GAMES,60.39%,100.00%
16,Virtual Logit-DIM:20,GAMES,75.04%,87.50%
17,Virtual Logit-DIM:40,GAMES,81.43%,62.50%
18,Virtual Logit-DIM:60,GAMES,80.52%,75.00%
19,Virtual Logit-DIM:80,GAMES,81.99%,75.00%
20,Virtual Logit-DIM:100,GAMES,83.28%,75.00%
21,Virtual Logit-DIM:120,GAMES,84.14%,75.00%
22,Virtual Logit-DIM:140,GAMES,84.36%,75.00%
23,Virtual Logit-DIM:160,GAMES,83.54%,75.00%
24,Virtual Logit-DIM:180,GAMES,83.47%,75.00%
25,Virtual Logit-DIM:200,GAMES,83.51%,75.00%
26,Virtual Logit-DIM:220,GAMES,83.33%,75.00%
27,Virtual Logit-DIM:240,GAMES,83.37%,75.00%
28,Mahalanobis,GAMES,42.81%,100.00%
